R,G,B,Label,Confidence
0.2352941176470588,0.35294117647058826,0.4,blue,poor
0.9607843137254902,0.1843137254901961,0.9882352941176472,pink,good
0.1568627450980392,0.2392156862745098,0.7647058823529411,blue,perfect
0.011764705882352941,0.011764705882352941,0.007843137254901959,black,perfect
0.4549019607843137,0.0392156862745098,0.031372549019607836,red,poor
0.05882352941176471,0.403921568627451,0.8941176470588236,blue,perfect
0.3333333333333333,0.8745098039215686,0.8196078431372549,blue,good
0.8941176470588236,0.6549019607843137,0.976470588235294,purple,perfect
0.9647058823529412,1.0,0.9254901960784314,green,poor
0.6784313725490196,1.0,0.35294117647058826,green,perfect
0.8117647058823529,0.1843137254901961,0.403921568627451,purple,perfect
0.6627450980392157,0.20392156862745095,0.21568627450980396,red,good
0.7529411764705882,0.396078431372549,0.9333333333333332,purple,good
0.2980392156862745,0.7450980392156863,0.6745098039215687,blue,good
0.023529411764705882,0.015686274509803918,0.0,black,perfect
0.24705882352941175,0.20392156862745095,0.4117647058823529,blue,good
0.047058823529411764,0.09019607843137256,0.12549019607843134,black,perfect
0.7411764705882353,0.6980392156862745,0.6901960784313725,grey,perfect
0.3019607843137255,0.396078431372549,0.023529411764705882,green,good
0.6549019607843137,0.4941176470588236,0.4392156862745098,brown,good
0.3019607843137255,0.8627450980392157,0.023529411764705882,green,perfect
0.2627450980392157,0.011764705882352941,0.6901960784313725,purple,poor
0.5215686274509804,0.5058823529411764,0.9568627450980391,purple,poor
0.10588235294117647,0.1215686274509804,0.23137254901960785,black,perfect
0.4588235294117647,0.4627450980392157,0.4627450980392157,grey,perfect
0.1215686274509804,0.30980392156862746,0.14901960784313725,green,good
0.1215686274509804,0.25882352941176473,0.10588235294117647,green,poor
0.1803921568627451,0.9529411764705882,0.4588235294117647,green,perfect
0.7568627450980392,0.976470588235294,0.8980392156862745,green,poor
0.9882352941176472,0.8431372549019608,0.7882352941176469,pink,good
0.8627450980392157,0.5803921568627451,0.9529411764705882,purple,perfect
1.0,0.9098039215686274,0.5647058823529412,yellow,perfect
0.6078431372549019,0.11372549019607844,0.9803921568627452,purple,perfect
0.7333333333333333,0.6039215686274509,0.8274509803921568,purple,perfect
0.15294117647058825,0.2,0.015686274509803918,green,good
0.7254901960784313,0.5176470588235295,0.6588235294117647,pink,good
0.1843137254901961,0.9450980392156862,0.7372549019607844,blue,good
0.30980392156862746,0.4117647058823529,0.5058823529411764,blue,good
0.5372549019607843,0.2392156862745098,0.09803921568627452,brown,perfect
0.015686274509803918,0.011764705882352941,0.015686274509803918,black,perfect
0.4392156862745098,0.0784313725490196,0.7294117647058823,purple,perfect
0.9725490196078432,0.24705882352941175,0.5372549019607843,pink,good
0.996078431372549,0.9529411764705882,0.9411764705882352,pink,poor
0.054901960784313725,0.043137254901960784,0.07450980392156863,black,good
0.4862745098039216,0.5529411764705883,0.32941176470588235,green,good
1.0,0.3843137254901961,0.407843137254902,red,poor
0.6627450980392157,0.1843137254901961,0.6901960784313725,purple,good
0.611764705882353,0.7843137254901961,0.7647058823529411,blue,poor
0.5843137254901961,0.7411764705882353,0.5960784313725489,green,good
0.32941176470588235,0.5490196078431373,0.5176470588235295,green,poor
0.4666666666666667,0.9137254901960784,0.19607843137254904,green,perfect
0.1843137254901961,0.19215686274509805,0.18823529411764706,white,good
0.19607843137254904,0.6039215686274509,0.20392156862745095,green,perfect
0.6313725490196078,0.5411764705882353,0.3607843137254902,brown,poor
0.9843137254901959,0.4117647058823529,0.06666666666666668,orange,perfect
0.015686274509803918,0.1803921568627451,0.807843137254902,blue,perfect
0.5882352941176471,0.07058823529411765,0.8117647058823529,purple,perfect
0.9882352941176472,0.2549019607843137,0.8666666666666667,pink,perfect
0.9215686274509804,0.5568627450980392,0.4823529411764706,pink,poor
0.05098039215686274,0.015686274509803918,0.9333333333333332,blue,perfect
0.8156862745098039,1.0,0.14901960784313725,green,good
0.09803921568627452,0.6509803921568628,0.07450980392156863,green,perfect
0.7529411764705882,0.9450980392156862,0.5764705882352941,green,good
0.4980392156862745,0.2784313725490196,0.3882352941176471,purple,good
1.0,0.10588235294117647,0.16470588235294115,red,perfect
0.09803921568627452,0.015686274509803918,0.047058823529411764,white,perfect
0.7529411764705882,0.9607843137254902,0.8509803921568627,green,poor
0.3411764705882353,0.8666666666666667,0.9686274509803922,blue,good
0.5019607843137255,0.4705882352941176,0.8627450980392157,blue,poor
0.5960784313725489,0.6470588235294118,0.5411764705882353,green,poor
0.5019607843137255,1.0,0.0784313725490196,green,good
0.26666666666666666,0.407843137254902,1.0,blue,perfect
0.8745098039215686,0.9372549019607844,0.976470588235294,blue,good
0.807843137254902,0.4588235294117647,0.7411764705882353,pink,poor
0.2627450980392157,0.4862745098039216,0.4862745098039216,green,poor
0.7176470588235294,0.407843137254902,0.403921568627451,brown,poor
0.6039215686274509,0.996078431372549,0.7764705882352941,green,poor
0.5764705882352941,0.5882352941176471,0.4117647058823529,green,poor
0.396078431372549,1.0,0.2392156862745098,green,good
0.6274509803921569,0.3450980392156863,0.32941176470588235,red,good
0.20392156862745095,0.16862745098039214,0.9294117647058824,blue,perfect
0.10196078431372547,0.11372549019607844,0.6941176470588235,blue,perfect
0.5058823529411764,0.615686274509804,0.6039215686274509,grey,poor
0.1176470588235294,0.06666666666666668,0.21568627450980396,black,perfect
0.9137254901960784,0.3725490196078432,0.13725490196078433,orange,perfect
0.996078431372549,0.09803921568627452,0.7843137254901961,pink,good
0.8352941176470589,0.9333333333333332,0.9529411764705882,blue,good
0.0,0.0,0.0,black,perfect
0.7137254901960784,0.5764705882352941,0.9333333333333332,purple,good
0.05882352941176471,0.015686274509803918,0.0392156862745098,black,perfect
0.7333333333333333,0.5019607843137255,0.8862745098039215,purple,good
0.4392156862745098,0.5960784313725489,0.35294117647058826,green,good
0.25098039215686274,0.2392156862745098,0.3215686274509804,grey,good
0.10196078431372547,0.09411764705882353,0.10196078431372547,black,perfect
0.10196078431372547,0.12549019607843134,0.07058823529411765,black,perfect
0.19215686274509805,0.19215686274509805,0.6274509803921569,blue,good
0.9333333333333332,0.9294117647058824,0.9411764705882352,grey,poor
0.7215686274509804,0.6235294117647059,0.6980392156862745,pink,poor
0.09411764705882353,0.16862745098039214,0.13333333333333333,black,perfect
0.07450980392156863,0.06274509803921569,0.12941176470588234,black,perfect
0.4980392156862745,0.2431372549019608,0.24705882352941175,red,good
0.30980392156862746,0.3803921568627451,0.3686274509803922,green,poor
0.8156862745098039,0.6705882352941176,0.8901960784313725,pink,good
0.0,0.0,0.0,black,perfect
0.6627450980392157,0.807843137254902,0.9058823529411764,blue,good
0.9803921568627452,0.06666666666666668,0.12549019607843134,red,perfect
0.5882352941176471,0.7411764705882353,0.6352941176470588,green,poor
0.5137254901960784,0.4941176470588236,0.4705882352941176,grey,poor
0.5019607843137255,0.4117647058823529,0.10196078431372547,brown,poor
0.8980392156862745,0.7960784313725491,0.7803921568627451,pink,poor
0.9607843137254902,0.2352941176470588,0.26666666666666666,red,perfect
0.21568627450980396,0.6705882352941176,0.8352941176470589,blue,perfect
0.19607843137254904,0.2196078431372549,0.1568627450980392,black,good
0.9411764705882352,0.8117647058823529,0.8509803921568627,pink,perfect
0.8039215686274509,0.992156862745098,0.6980392156862745,green,good
